w_l,w_s,w_r,apple_x,apple_y,tail_x,tail_y,Q_k_l,k_l,Q_k_s,k_s,Q_k_r,k_r
1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-18.0,264.0,-1.0,4.0,-1.1,6.0
1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,3.0,264.0,0.0,3.0,0.0,3.0
1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,3.0,1.85,6.0,0.05,3.0
1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,4.0,35.0,1.45,13.0,0.05,3.0
0.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.05,3.0,0.0,3.0,1.85,7.0
0.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,1.95,6.0,0.05,3.0,1.85,5.0
0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,0.05,3.0,1.05,54.0,1.2,62.0
0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,36.300000000000026,2672.0,0.3999999999999996,33.0,0.3999999999999996,33.0
1.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,1.0,0.0,-1.0,0.0,-1.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,0.0,1.0,-1.0,0.0,-1.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,2.0,1.0,2.0,1.0,1.0,2.0
0.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,1.0,0.0,-1.0,0.0,-1.0,-1.0,1.85,4.0,0.0,3.0,1.85,4.0
0.0,0.0,1.0,-1.0,0.0,-1.0,-1.0,1.0,2.0,1.95,2.0,2.0,1.0
0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.8999999999999999,23.0,0.8999999999999999,23.0,0.8499999999999999,24.0
1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-5.95,29.0,-1.0,4.0,-8.75,41.0
1.0,1.0,0.0,-1.0,1.0,-1.0,-1.0,1.95,10.0,0.1,3.0,0.0,3.0
1.0,0.0,1.0,-1.0,1.0,-1.0,-1.0,0.0,3.0,2.9000000000000004,22.0,0.0,3.0
1.0,0.0,0.0,-1.0,1.0,-1.0,-1.0,1.05,172.0,6.850000000000001,1091.0,0.0,3.0
0.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,0.05,3.0,0.05,3.0,1.65,9.0
0.0,1.0,0.0,-1.0,1.0,-1.0,-1.0,1.45,44.0,-0.85,4.0,0.8999999999999999,27.0
0.0,0.0,1.0,-1.0,1.0,-1.0,-1.0,0.0,3.0,3.8,58.0,1.15,19.0
0.0,0.0,0.0,-1.0,1.0,-1.0,-1.0,-7.00828284294631e-16,92.0,0.1000000000000472,1629.0,-7.00828284294631e-16,52.0
1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,2.0,2.0,1.95,2.0,1.0,2.0
0.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,2.0,1.0,1.95,2.0,2.0,1.0
0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,32.45,50.0,1.85,4.0,1.85,4.0
1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,0.0,1.0,0.0,0.0,-1.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,1.0,1.0,0.0,0.0,-1.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,1.0,1.0,0.0,1.0,-1.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,1.0,0.0,0.0,1.0,-1.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,0.0,1.0,0.0,1.0,-1.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,1.0,1.0,0.0,1.0,-1.0,-1.0,2.0,1.0,2.0,1.0,2.0,2.0
0.0,1.0,0.0,0.0,1.0,-1.0,-1.0,1.95,2.0,2.0,1.0,2.0,2.0
0.0,0.0,1.0,0.0,1.0,-1.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,1.85,4.0,1.85,4.0,16.7,28.0
1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-2.0,5.0,-2.0,5.0,-3.7,8.0
1.0,1.0,0.0,1.0,-1.0,-1.0,-1.0,1.85,4.0,1.0,2.0,1.05,2.0
1.0,0.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,3.0,0.2999999999999996,37.0,-0.85,4.0
1.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,1.2999999999999996,16.0,219.6500000000005,2201.0,0.0,3.0
0.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,3.0,0.0,3.0,1.7,269.0
0.0,1.0,0.0,1.0,-1.0,-1.0,-1.0,0.2499999999999996,36.0,0.0,3.0,2.0,247.0
0.0,0.0,1.0,1.0,-1.0,-1.0,-1.0,-0.95,4.0,0.0999999999999994,41.0,1.55,437.0
0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,1.75,12.0,1642.9499999999837,10721.0,1.5,11.0
1.0,1.0,1.0,1.0,0.0,-1.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,1.0,0.0,1.0,0.0,-1.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,0.0,1.0,1.0,0.0,-1.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,0.0,0.0,1.0,0.0,-1.0,-1.0,1.25,16.0,226.7000000000005,2157.0,0.0,3.0
0.0,1.0,1.0,1.0,0.0,-1.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,1.0,0.0,1.0,0.0,-1.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,0.0,1.0,1.0,0.0,-1.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,0.0,0.0,1.0,0.0,-1.0,-1.0,1.4,13.0,1606.3999999999596,9311.0,1.4,13.0
1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-5.15,12.0,-2.85,6.0,-2.85,7.0
1.0,1.0,0.0,1.0,1.0,-1.0,-1.0,1.7,9.0,0.05,3.0,0.05,3.0
1.0,0.0,1.0,1.0,1.0,-1.0,-1.0,1.0,2.0,2.0,1.0,2.0,1.0
1.0,0.0,0.0,1.0,1.0,-1.0,-1.0,3.350000000000001,23.0,1.75,16.0,0.0,3.0
0.0,1.0,1.0,1.0,1.0,-1.0,-1.0,2.0,1.0,1.05,2.0,2.0,1.0
0.0,1.0,0.0,1.0,1.0,-1.0,-1.0,7.25,16.0,0.0,3.0,1.8,5.0
0.0,0.0,1.0,1.0,1.0,-1.0,-1.0,0.0,3.0,1.95,39.0,2.0,39.0
0.0,0.0,0.0,1.0,1.0,-1.0,-1.0,0.1499999999999988,38.0,1.45,278.0,12.549999999999986,2399.0
1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0
1.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,2.0,230.0,0.0,3.0,0.0,3.0
1.0,0.0,1.0,-1.0,-1.0,-1.0,0.0,1.05,2.0,1.95,2.0,2.0,1.0
1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,2.0,4.0,1.85,4.0,1.0,2.0
0.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,2.0,4.0,0.0,3.0,1.85,4.0
0.0,0.0,1.0,-1.0,-1.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,2.0,925.0,0.0499999999999992,40.0,0.0499999999999992,40.0
1.0,1.0,1.0,-1.0,0.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,1.0,0.0,-1.0,0.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,0.0,1.0,-1.0,0.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,1.0,1.0,-1.0,0.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,1.95,2.0,1.0,2.0,1.95,2.0
0.0,0.0,1.0,-1.0,0.0,-1.0,0.0,0.0,3.0,1.7,7.0,1.7,7.0
0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,1.6,9.0,1.6,9.0,1.6,9.0
1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,1.0,0.0,-1.0,1.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,0.0,0.0,-1.0,1.0,-1.0,0.0,2.0,1.0,1.95,2.0,2.0,1.0
0.0,1.0,1.0,-1.0,1.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,1.0,0.0,-1.0,1.0,-1.0,0.0,1.8,5.0,0.0,3.0,2.0,5.0
0.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.0,3.0,1.85,4.0,2.0,5.0
0.0,0.0,0.0,-1.0,1.0,-1.0,0.0,1.35,14.0,1.35,14.0,2.0,20.0
1.0,1.0,1.0,0.0,-1.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,0.0,1.0,0.0,-1.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,2.0,1.0,1.95,2.0,2.0,1.0
0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,0.0,1.0,0.0,-1.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,9.35,21.0,1.85,4.0,1.85,4.0
1.0,1.0,1.0,0.0,0.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,1.0,0.0,0.0,0.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,0.0,1.0,0.0,0.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,0.0,0.0,0.0,0.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,1.0,1.0,0.0,0.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,1.0,0.0,0.0,0.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,0.0,1.0,0.0,0.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,0.0,0.0,0.0,0.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,1.0,1.0,0.0,1.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,1.0,0.0,0.0,1.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,0.0,1.0,0.0,1.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,0.0,0.0,0.0,1.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,1.0,1.0,0.0,1.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,1.0,0.0,0.0,1.0,-1.0,0.0,1.95,2.0,1.0,2.0,8.3,8.0
0.0,0.0,1.0,0.0,1.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0
0.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.85,4.0,1.85,4.0,52.39999999999996,75.0
1.0,1.0,1.0,1.0,-1.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,1.0,0.0,1.0,-1.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,0.0,1.0,1.0,-1.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,0.0,0.0,1.0,-1.0,-1.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0
0.0,1.0,1.0,1.0,-1.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,1.0,0.0,1.0,-1.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,2.0,40.0,2.0,39.0,1.0,21.0
1.0,1.0,1.0,1.0,0.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,1.0,0.0,1.0,0.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,0.0,1.0,1.0,0.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,0.0,0.0,1.0,0.0,-1.0,0.0,1.5,11.0,223.55000000000047,1289.0,0.0,3.0
0.0,1.0,1.0,1.0,0.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,1.0,0.0,1.0,0.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,0.0,1.0,1.0,0.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,0.0,0.0,1.0,0.0,-1.0,0.0,1.65,8.0,1126.5499999999806,4781.0,1.6499999999999997,8.0
1.0,1.0,1.0,1.0,1.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,1.0,0.0,1.0,1.0,-1.0,0.0,2.0,1.0,2.0,1.0,1.05,2.0
1.0,0.0,1.0,1.0,1.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,0.0,0.0,1.0,1.0,-1.0,0.0,1.95,2.0,2.0,3.0,1.05,2.0
0.0,1.0,1.0,1.0,1.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,1.0,0.0,1.0,1.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,0.0,1.0,1.0,1.0,-1.0,0.0,0.0,3.0,2.0,6.0,2.0,7.0
0.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.1499999999999985,38.0,2.0,413.0,2.0,414.0
1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-15.1,255.0,-1.0,4.0,-1.15,7.0
1.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,2.0,14.0,0.0,3.0,0.0,3.0
1.0,0.0,1.0,-1.0,-1.0,-1.0,1.0,1.05,2.0,2.0,2.0,2.0,1.0
1.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,4.1,11.0,1.7,7.0,0.0,3.0
0.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.05,2.0,1.0,2.0,1.95,2.0
0.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,2.0,6.0,0.0,3.0,1.8,6.0
0.0,0.0,1.0,-1.0,-1.0,-1.0,1.0,0.0,3.0,1.9,4.0,2.95,6.0
0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,10.05,1088.0,0.2499999999999993,37.0,0.2499999999999985,36.0
